x_position,y_position,r,random_seed
-2.9393939393939394,-1.3636363636363635,-125.2326890331827,5250
-2.9393939393939394,-1.303030303030303,-126.15496551154803,5250
-2.9393939393939394,-1.2424242424242424,-123.94600259129665,5250
-2.9393939393939394,-1.1818181818181817,-124.5455431157101,5250
-2.9393939393939394,-1.121212121212121,-122.72777965523636,5250
-2.9393939393939394,-1.0606060606060606,-122.18762372932324,5250
-2.9393939393939394,-1.0,-124.21012822757444,5250
-2.9393939393939394,-0.9393939393939394,-123.75561043129085,5250
-2.9393939393939394,-0.8787878787878789,-124.88340615111771,5250
-2.9393939393939394,-0.8181818181818183,-120.87584615420543,5250
-2.9393939393939394,-0.7575757575757573,-120.6537976743121,5250
-2.9393939393939394,-0.6969696969696968,-123.14407166074604,5250
-2.9393939393939394,-0.6363636363636362,-125.05595072885504,5250
-2.9393939393939394,-0.5757575757575757,-123.21284462301705,5250
-2.9393939393939394,-0.5151515151515151,-122.2718484453794,5250
-2.9393939393939394,-0.4545454545454546,-121.13007089419044,5250
-2.9393939393939394,-0.39393939393939403,-125.56856411087257,5250
-2.9393939393939394,-0.33333333333333304,-122.79169798061292,5250
-2.9393939393939394,-0.2727272727272725,-120.12723846151292,5250
-2.9393939393939394,-0.21212121212121193,-121.90839464505349,5250
-2.9393939393939394,-0.15151515151515138,-120.46436889290476,5250
-2.9393939393939394,-0.09090909090909083,-119.78647413183116,5250
-2.9393939393939394,-0.030303030303030276,-120.31843655567681,5250
-2.9393939393939394,0.030303030303030276,-120.37751257733947,5250
-2.9393939393939394,0.09090909090909083,-123.54703584020672,5250
-2.9393939393939394,0.15151515151515138,-122.25106378180519,5250
-2.9393939393939394,0.21212121212121238,-121.58441359941271,5250
-2.9393939393939394,0.27272727272727293,-119.61639305806212,5250
-2.9393939393939394,0.3333333333333335,-121.6421977416959,5250
-2.9393939393939394,0.39393939393939403,-123.82577867144066,5250
-2.9393939393939394,0.4545454545454546,-121.98574388594176,5250
-2.9393939393939394,0.5151515151515151,-119.6661728625772,5250
